Blog	four 	here 	china 	how 	re 	tech 	best 	country 	much 	life 	had 	old 	people 	america 	inside 	time 	love 	working 	such 	years 	internet 	million 	one 	city 	russia 	warriors 	take 	where 	many 	former 	summer 	being 	around 	world 	her 	th 	scientists 	full 	social 	company 	states 	its 	found 	major 	also 	set 	see 	d 	be 	agreement 	into 	up 	us 	uk 	video 	great 	next 	high 	ties 	could 	start 	system 	manchester 	should 	off 	government 	does 	monday 	all 	work 	mayor 	them 	they 	another 	do 	secretary 	climate 	photo 	night 	security 	months 	way 	was 	war 	terror 	change 	live 	can 	still 	not 	now 	year 	space 	british 	than 	online 	only 	between 	these 	media 	death 	real 	using 	t 	your 	area 	you 	month 	very 	help 	american 	during 	look 	while 	used 	five 	game 	some 	qatar 	him 	may 	times 	attack 	need 	so 	based 	she 	police 	party 	i 	utah 	home 	washington 	north 	he 	star 	even 	ever 	men 	campaign 	president 	before 	better 	don 	m 	said 	against 	three 	say 	near 	if 	make 	left 	just 	human 	deal 	digital 	suicide 	international 	sunday 	designed 	man 	nbsp 	killed 	first 	were 	show 	data 	get 	across 	according 	among 	cancer 	those 	same 	film 	students 	u 	children 	two 	through 	portland 	park 	most 	bill 	big 	google 	back 	decision 	day 	south 	cosby 	national 	we 	injured 	center 	latest 	smart 	like 	about 	but 	paris 	school 	would 	phone 	my 	keep 	london 	saturday 	free 	their 	bridge 	watch 	report 	news 	games 	been 	donald 	election 	attacks 	no 	when 	says 	trump 	any 	state 	week 	or 	there 	woman 	what 	known 	grande 	health 	friday 	his 	range 	called 	app 	use 	women 	united 	six 	light 	our 	out 	which 	who 	why 	last 	will 	other 	know 	because 	universe 	own 	june 
AP Top Science News at 6:06 a.m. EDT	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	1	2	0	0	2	0	0	0	2	0	0	0	0	1	1	1	0	2	1	0	0	1	1	0	0	11	0	0	0	0	0	3	0	0	6	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	5	0	0	0	0	0	4	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	1	6	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	4	0	0	0	1	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
BBC News - Home	2	2	0	9	1	2	0	0	0	2	1	0	4	2	0	2	5	1	1	3	1	0	8	1	2	0	1	2	2	1	0	2	0	4	3	0	0	0	3	0	0	1	2	0	0	2	2	0	2	0	1	1	5	5	0	3	0	0	2	0	0	0	6	1	3	1	0	3	1	1	0	0	1	0	5	0	0	2	1	2	0	1	8	2	7	0	1	4	0	2	1	2	0	4	1	1	0	0	0	3	0	3	0	0	9	2	10	1	0	0	0	0	0	1	0	2	0	0	2	1	3	0	20	4	3	0	2	6	0	3	0	0	0	0	3	2	0	0	0	2	1	0	2	0	0	0	2	1	3	0	1	0	0	1	1	1	0	2	1	1	0	5	0	2	3	1	3	0	2	2	0	1	0	0	0	0	0	0	0	3	2	0	0	3	0	0	0	0	0	2	1	2	3	4	3	0	2	0	1	1	4	0	0	0	2	0	1	20	3	0	3	9	1	0	1	0	1	0	15	1	1	5	7	2	0	0	0	2	1	0	7	0	3	0	0	4	0	1	0	1	2	0	1	0	3	0	0	5	1	0	3	1	5	0	0	2	2
The Daily Puppy | Pictures of Puppies	0	0	0	1	0	0	1	0	0	2	0	0	2	0	1	1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
Fresh Air : NPR	0	0	0	5	0	0	1	2	0	2	0	2	0	0	1	1	1	2	0	1	0	0	1	0	2	0	0	0	1	2	2	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	6	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	3	0	0	0	0	0	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	1	0	0
NYT > Sports	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
AP Top Sports News at 2:56 a.m. EDT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
NYT > Home Page	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	2	0	0	6	1	3	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	3	0	0	1	2	0	3	0	0	2	0	0	1	1	0	1	0	0	4	0	2	0	0	0	5	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	2	0	1	0	1	2	1	0	2	0	0	1	2	0	1	0	0	3	0	2	0	2	1	6	0	0	0	1	2	3	1	0	1	0	1	3	0	0	0	2	0	4	2	0	0	2	1	0	0	0	1	0	0	2	1	1	0	0	0	0	8	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	2	1	0	5	1	0	1	0	1	1	2	1	1	0	3	0	0	0	2	0	1	1	0	0	0	0	13	3	0	1	5	0	0	3	0	0	0	2	3	0	0	1	8	0	5	0	1	0	1	3	0	3	0	2	3	0	1	0	0	1	3	0	0	0	1	1	3	0	4	0	1	0	0	0	0	0
News : NPR	0	1	0	4	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	2	0	0	0	1	0	2	1	0	0	0	1	0	0	2	1	5	0	1	0	0	0	2	2	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	5	0	0	2	0	0	1	0	2	0	3	0	0	1	0	1	0	1	8	2	0	0	1	0	1	0	4	0	0	6	1	0	1	2	0	0	0	2	2	0	1	2	3	0	0	2	2	0	0	2	0	0	0	0	3	0	0	0	0	0	2	2	0	0	2	1	2	1	0	0	0	0	0	0	0	0
GANNETT Syndication Service	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1	3	0	0	2	3	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	3	0	1	1	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	1	1	2	0	0	0	2	0	2	2	2	1	1	0	0	0	5	0	0	0	0	0	2	2	1	3	0	0	1	0	0	1	0	0	0	0	0	2	2	2	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2	0	10	0	2	0	1	0	1	0	0	1	0	0	0	2	0	0	0	2	1	0	2	1	0	1	1	1	0	2	0	0	0	2	91	0	2	1	1	0	0	0	1	0	5	1	0	0	0	0	5	3	0	0	0	0	0	0	0	0	2	1	1	0	3	3	0	3	0	0	0	1	1	1	8	0	1	0	0	0	0	1	1	0	0	0	5	0	0	1	0	0	4	0	2	3	0	1	1	0	2	2	5	0	0	0	1	0	0	0	0	1	1	0	0	2	1	1	0	3	0	0	1	1	1	0	0	0	2
Animal of the day	2	3	0	2	0	0	0	0	0	2	0	2	0	1	1	0	0	1	2	8	0	0	6	0	0	0	1	1	3	0	1	3	1	9	2	0	0	0	1	0	0	7	0	1	5	0	1	0	4	0	0	5	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	7	0	0	5	30	2	6	0	2	0	1	0	3	0	0	0	0	0	4	8	0	4	0	1	0	0	2	0	5	7	4	0	3	0	0	0	0	0	0	0	4	1	0	5	1	3	1	0	0	4	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	2	2	0	0	6	0	0	0	0	0	4	1	0	0	1	0	0	0	0	1	3	2	0	0	1	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	2	3	0	0	0	0	3	2	0	1	0	0	1	0	0	1	14	0	1	0	3	4	0	1	0	2	0
Latest News Articles from Techworld	0	1	0	3	1	9	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	8	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	1	1	1	0	0	0	1	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	3	0	0	4	0	0	3	0	0	0	0	1	0	0	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	1	2	1	0	5	0	0	0	0
CNN.com - RSS Channel - HP Hero	2	1	1	0	1	0	3	0	0	3	1	2	2	5	0	1	1	0	0	1	0	1	2	2	0	0	1	0	2	3	0	2	2	2	13	1	0	0	0	2	1	6	1	0	1	0	0	1	9	3	5	5	5	0	3	1	0	0	1	0	0	1	1	2	0	0	1	1	1	0	1	0	5	1	3	2	4	1	2	1	3	1	2	1	2	0	3	2	2	6	3	3	0	1	4	0	0	1	1	2	1	1	1	6	0	0	1	0	0	0	1	2	2	3	1	0	0	0	4	1	3	0	2	3	3	0	9	0	0	3	0	2	0	1	5	2	1	0	2	1	10	2	0	1	3	4	1	3	1	0	1	3	0	0	0	1	0	0	0	5	0	3	0	0	1	4	1	0	4	0	0	0	0	2	1	1	0	0	0	4	4	1	0	1	4	2	0	1	4	2	0	2	1	4	0	0	2	1	1	7	3	5	2	0	1	3	2	7	1	1	4	1	0	2	4	0	4	8	0	2	3	4	3	22	1	1	3	6	3	2	3	2	3	0	0	15	0	1	0	3	1	1	0	0	3	3	2	6	3	1	3	1	0	0	1	0	1
BBC News - Technology	0	1	0	3	0	6	3	0	0	0	0	0	6	0	0	0	0	2	0	2	4	0	2	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	2	4	0	2	1	0	1	0	0	2	5	0	1	1	5	2	4	0	0	0	0	1	2	1	0	0	0	1	1	0	1	2	0	0	1	0	0	0	2	0	0	4	0	0	3	0	0	1	0	4	1	1	4	0	0	0	0	3	0	0	0	2	0	1	4	0	2	0	0	0	0	2	0	0	0	0	0	1	2	2	0	0	2	0	1	0	2	1	0	0	0	0	0	1	0	0	1	2	0	1	0	1	2	0	0	0	0	0	1	0	2	0	0	1	1	1	0	1	3	0	1	0	1	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	1	4	1	0	0	0	0	0	1	0	0	3	2	0	1	7	0	3	0	0	1	2	0	3	2	0	0	3	1	0	0	1	0	0	2	0	0	0	2	3	2	0	0	0	0	1	2	3	0	2	0	3	3	1	0	0	1	0
Utah Jazz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0
Dictionary.com Word of the Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Technology : NPR	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	2	0	0	0	0	0	0	0	4	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	3	0	0	1	0	0	4	1	2	0	0	0	0	0	1	3	3	0	0	1	0	1	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	1	2	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	1	3	2	0	1	0	0	1	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0
David Kleinert Photography	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Techlearning RSS Feed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KSL / Utah / Local Stories	0	0	0	0	0	0	1	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	2	6	0	0	1	0	0	0	0	1	0	0	4	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	2	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	10	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	3	3	0	0	0	0	0	0	0	1	0	8	0	11	0	2	2	2	0	0	0	0	1	0	0	1	0	0	0	1	2	2	1	2	4	0	0	0	0	0	0	3	0	0	1	0	2	2	1	0	0	1	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	1	0	3	0	1	3	1	0	0	0	0	1
Reuters: Top News	0	0	4	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	4	1	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	0	1	3	0	0	0	2	3	0	0	0	0	0	2	5	2	0	0	0	1	4	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	6	0	0	0	3	0	1	0	2	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	2	0	0	2	0	0	4	5	3	0	0	1	7	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0
AP Top U.S. News at 3:16 a.m. EDT	0	0	0	1	2	0	0	0	0	3	1	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	2	1	1	2	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	3	0	0	3	0	1	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	5	0	1	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	1	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	2	1	6	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
NYT > Technology	0	2	3	2	1	10	1	2	0	0	2	0	0	0	0	2	0	0	0	0	3	4	1	1	0	0	1	1	1	1	0	1	0	4	4	0	0	0	0	6	2	4	0	0	1	0	0	0	3	0	0	3	0	0	1	0	0	1	0	2	3	1	0	0	2	0	0	1	0	1	0	1	2	2	1	0	4	0	0	0	0	2	9	0	0	5	0	3	1	3	0	2	2	0	0	2	0	1	0	1	0	1	1	2	10	0	5	1	0	2	0	4	0	0	1	1	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	4	0	0	4	0	1	0	0	0	8	0	1	1	2	6	0	0	1	0	4	0	4	1	0	0	2	0	1	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	1	1	2	2	1	5	1	0	5	2	0	1	0	0	0	2	0	0	3	2	0	1	0	1	0	1	4	2	4	1	2	4	0	1	0	0	0	0	0	0	3	0	1	3	1	0	2	0	0	0	2	0	2	0	1	6	1	1	0	0	0	0
WIRED	0	1	0	6	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	2	2	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	3	0	0
UEN News	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
Reuters: World News	2	0	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	5	0	0	2	1	2	0	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	7	0	0	0	2	5	2	0	0	0	0	1	2	1	0	0	0	4	0	1	0	0	2	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	2	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	0	1	1	6	3	0	0	3	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
